name,team,teamSlug,role,pma,pfc,pmaRange,pfcRange,slot,expectedTitolarita,expectedFantamedia,roleMantra,idFantacalcio,lastThreeYearTitolarity,lastFiveYearVotoBase,lastFiveYearFantamedia,lastFiveYearTitolarity,lastYearVotoBase,lastYearFantamedia,lastYearTitolarity,lastFiveMatchesVotoBase,lastFiveMatchesFantamedia,lastFiveMatchesTitolarity,currentSeasonVotoBase,currentSeasonFantamedia,currentSeasonTitolarity,playerStatus,penaltyProbability,freeKickProbability,unavailableUntilRound,fasciaFc,fasciaFr,svinc,commentoFr,africaUntilRound,position,modulo,coach,commentoFrTeam,rientroIncerto,newArrival,calciomercato,updatedAt,dpfcpma
MANDAS,Lazio,LAZ,P,"45,5","52,8",38-54,40-66,1,80,"5,31",,6482,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,0,0,Semi-Top,Semi-Top,0,"È tornato dal prestito e Provedel è andato via. Il ruolo da titolare a oggi è il suo. Nelle sue stagioni passate alla Lazio ha spesso dimostrato di essere un portiere affidabile, molto però dipenderà da come verrà costruita la squadra. Eventuali defezioni nei vari reparti potrebbero influire negativamente anche sulle sue prestazioni.",0,1,0, , ,FALSE,TRUE,,2026-08-20T09:36:19.000Z,7
DAVIS K.,Udinese,UDI,A,"149,8","166,5",137-163,142-192,1,92,"6,94",,5637,"4473,68",0,0,0,"6,32","7,37","7894,74",0,0,0,0,0,0,T,70,0,0,Semi-Top,Semi-Top,0,"Il centravanti di riferimento. Fisico, abile nel gioco aereo e nel tenere palla. Sa finalizzare e far salire la squadra: è stato tra i migliori realizzatori della scorsa stagione. Secondo slot.",0,11,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,17
HOLM,Bologna,BOL,D,"3,3","14,2",3-5,11-18,5,82,"6,17",,5678,"4385,96",0,0,0,"6,09","6,44","4210,53",0,0,0,0,0,0,B,0,0,0,TitLowCost,TitLowCost,"47,4", ,0,2,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,11
VITINHA O.,Genoa,GEN,A,"26,4","46,7",21-33,36-59,3,92,"6,47",,6164,"5175,44",0,0,0,"5,95","6,39","8157,89",0,0,0,0,0,0,T,10,0,0,OttimoTit,OttimoTit,0,"Mobile, veloce e abile nell’uno contro uno. Non è una punta classica da area di rigore: ama svariare, creare spazi, dribblare e legare il gioco. Ha un buon tiro (anche da lontano) e sa fare da sponda o da falso nueve.",0,10,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,21
NOSLIN,Lazio,LAZ,A,"7,2","32,3",5-10,25-41,4,86,"6,43",,6556,"5175,44",0,0,0,"6,02","6,5","6052,63",0,0,0,0,0,0,B,0,0,0,TitLowCost,TitLowCost,5, ,0,10,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,25
ODGAARD,Bologna,BOL,C,"8,4","19,2",6-12,15-24,4,80,"6,55",,2765,"5175,44",0,0,0,"5,91","6,61","5789,47",0,0,0,0,0,0,B,0,0,0,TitLowCost,TitLowCost,"12,1","Ha già dimostrato di essere un giocatore importante. Ha le qualità giuste per il ruolo di mezzala o di trequartista, ha solo bisogno di avere più continuità. Speriamo che sotto questo aspetto Tedesco gli dia la possibilità di giocare più match possibili partendo dall'inizio.",0,8,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,11
PIEROTTI,Lecce,LEC,C,"5,2","10,1",4-7,8-13,6,92,"6,33",,6549,"6929,82",0,0,0,"5,8","5,85","9736,84",0,0,0,0,0,0,T,0,10,0,TitLowCost,TitLowCost,"15,2","Anche se gioca più avanti ed è listato centrocampista, non ce la sentiamo di indicarlo come bug del listone. Il Lecce spesso si trova a soffrire e lui anche se ha qualità fatica ad esprimersi con continuità. Come sesto/settimo slot ci può stare acquistarlo.",0,9,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,5
VALERI,Parma,PAR,D,"22,1","25,3",19-26,19-32,3,92,"6,18",,5862,"7280,7",0,0,0,"6,06","6,09","8947,37",0,0,0,0,0,0,T,20,20,0,OttimoTit,OttimoTit,0,Esterno di qualità e di spinta. Piede educato che sforna cross pericolosi e calci piazzati precisi per i compagni. Listato da difensore è una buona arma al fanta a cifre contenute.,0,9,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,3
CASTRO S.,Roma,ROM,A,"80,3","99,7",69-93,85-115,2,80,"6,93",,6572,"6403,51",0,0,0,"5,93","6,51","9210,53",0,0,0,0,0,0,P,0,0,0,OttimoTit,OttimoTit,0, ,0,11,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,20
GABBIA,Milan,MIL,D,"13,6",20,11-17,15-25,4,92,"6,14",,4401,"6228,07","5,816","5,81","4578,95","5,91","5,84","7631,58",0,0,0,0,0,0,T,0,0,0,OttimoTit,OttimoTit,"0,8", ,0,3,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,6
BELAHYANE,Lazio,LAZ,C,"1,8",1,2-3,1-2,8,52,"5,97",,6191,"3421,05",0,0,0,"5,77","5,82","2894,74",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"96,9", ,0,8,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-1
